id,bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
26839660,1,29,40.77594,-73.94818,1,3,0,0.0,1,132
26840646,2,2,40.68657,-73.91354,1,2,10,0.86,1,0
26845053,2,23,40.68253,-73.87457,1,5,25,2.14,3,43
26845312,4,23,40.74503,-73.88761,2,1,3,0.29,2,317
26847614,2,6,40.67434,-73.95549,2,7,3,0.25,1,0
26849955,2,23,40.68542,-73.99673,1,2,18,1.56,1,61
26860883,1,16,40.8275,-73.94323,2,1,14,1.35,1,310
26861563,1,30,40.78803,-73.97432,2,3,1,0.09,1,0
26861684,2,23,40.63183,-73.92229,1,2,30,2.51,1,327
26863858,4,23,40.74521,-73.91353,2,1,4,1.74,1,330
26864429,2,33,40.71714,-73.95783,2,2,3,0.36,1,0
26865113,2,23,40.68071,-73.98201,2,3,3,0.33,1,0
26865983,2,6,40.67228,-73.91841,1,2,24,2.17,1,55
26866322,4,23,40.77592,-73.90754,1,6,19,1.88,2,7
26866997,5,23,40.83224,-73.92068,2,5,6,0.52,1,188
26867485,2,23,40.68237,-73.87291,1,5,22,1.93,3,60
26867888,2,1,40.67844,-73.93831,2,1,14,1.24,1,22
26867963,1,17,40.75566,-73.99917,1,2,3,0.26,1,0
26868019,1,31,40.85333,-73.9305,2,7,0,0.0,1,365
26869417,1,29,40.76943,-73.95971,2,2,8,0.68,1,0
26870969,2,1,40.69458,-73.94581,2,5,0,0.0,1,0
26871208,2,1,40.68706,-73.94368,1,9,5,0.52,2,55
26871230,1,3,40.74443,-74.0029,1,5,10,0.87,1,4
26872443,1,30,40.79969,-73.9635,1,3,4,0.37,1,0
26872960,1,23,40.75942,-73.98664,2,4,22,2.03,1,65
26874133,2,7,40.66097,-73.9319,1,4,15,1.27,1,174
26874714,4,23,40.58937,-73.81327,2,1,15,1.33,1,345
26874727,2,2,40.70105,-73.92183,2,4,5,0.42,1,0
26877276,2,2,40.68974,-73.91449,2,4,10,0.85,1,0
26886071,1,9,40.72696,-73.9811,1,3,6,0.94,1,0
26887521,1,16,40.81189,-73.94137,2,2,23,2.09,1,104
26889817,2,12,40.6873,-73.97906,1,7,3,0.28,1,33
26890649,2,1,40.69516,-73.93462,1,3,2,0.17,1,0
26891909,4,23,40.76961,-73.90805,2,2,0,0.0,2,0
